"handle","name","content","replies","retweets","favorite","unix_timestamp","date","url","search_url","hashtags"
"@fdosamaniego","Mr. Brightside","Arranca la Convención Nacional contra la Imposición de #YoSoy132 en Atenco http://t.co/Nh979j13","0","0","0","1342293528000","14 Jul 2012","fdosamaniego/status/224221426985615360","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","YoSoy132"
"@nosotros132","ciento treinta y dos","#YoSoy132 #primaveramexicana #revolucion132 #AFPN #antiEPN marcha 14 de julio http://t.co/jKzRuxXN","0","0","0","1342301007000","14 Jul 2012","nosotros132/status/224252794729803776","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","YoSoy132 | primaveramexicana | revolucion132 | AFPN | antiEPN"
"@MexicanosVota","MexicanosVota","México: más de 800 personas en la ""Convención Nacional contra la Imposición"": Integrantes del grupo #YoSoy132 y ... http://t.co/G7uZBztF","0","0","0","1342293843000","14 Jul 2012","MexicanosVota/status/224222747419607043","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","YoSoy132"
"@fjespriella","Feliciano Espriella","Organizaciones y #YoSoy132 analizan en Atenco plan de acción contra Peña Nieto http://t.co/yHj6uxI8","0","2","0","1342295795000","14 Jul 2012","fjespriella/status/224230932851339265","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","YoSoy132"
"@Juan_Charrascas","Juan","ja,ja, para depresion la que sufren #yosoy132, no dan credito a la derrota del #peje.....@CalebMX","0","0","0","1342296500000","14 Jul 2012","Juan_Charrascas/status/224233890179579904","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","yosoy132 | peje"
"@soyjuancahdez","Juan Carlos Hernández","#típico vienes al centro histórico de Puebla y te encuentras una manifestación de #yosoy132","0","0","0","1342299861000","14 Jul 2012","soyjuancahdez/status/224247990188113921","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","típico | yosoy132"
"@marrufo48","Jose Jesus Marrufo","La Jornada en Internet: Se reúne #YoSoy132 en Atenco contra la imposición http://t.co/eWO4NlvH vía @sharethis","0","0","0","1342294810000","14 Jul 2012","marrufo48/status/224226804855083009","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","YoSoy132"
"@radiolakra","radio lakra 132","#2daMegaMarchaAntiEPN #MegaMarcha México ya no es un país para cobardes #YoSoy132","0","0","0","1342309239000","14 Jul 2012","radiolakra/status/224287322911416320","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","2daMegaMarchaAntiEPN | MegaMarcha | YoSoy132"
"@erikvargas","Erik encuarentenado","La flor es el regalo de #YoSoy132 a mi hijo. Muchos chavos, algunos amigos. Gusto ver quién defiende lo que cree http://t.co/BKsD2btM","0","0","0","1342305924000","14 Jul 2012","erikvargas/status/224273412544143360","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","YoSoy132"
"@rubiturrent","Carlos Rubi Turrent","RT @YoSoy132Xalapa: ¡Ya basta de tener a la impunidad y corrupción como estilo de vida! ¡Basta de tanta apatía! #Yosoy132","0","0","0","1342306856000","14 Jul 2012","rubiturrent/status/224277329906647041","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","Yosoy132"
"@alixtabai","Xtabai","Todo Mexico en contra de la imposicion, no a institutuiones politicas corruptas #yosoy132 http://t.co/ATPIO6NO","0","0","0","1342301410000","14 Jul 2012","alixtabai/status/224254483079761920","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","yosoy132"
"@manuelvidal05","Wachito Rico","Confieso que #YoSoy132, ya no puedo más, lo siento.","0","0","0","1342297712000","14 Jul 2012","manuelvidal05/status/224238976385556480","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","YoSoy132"
"@VeroAyalaHbb","Vero Ayala Habibi","Que estupidez! al puro estilo @lopezobrador_ un plan para evitar que @EPN tome protesta. Que + podiamos esperar de los atenco y #yosoy132","0","0","0","1342302816000","14 Jul 2012","VeroAyalaHbb/status/224260384184483840","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","yosoy132"
"@GabySofiaMaga","Sofía Magallanes","#YoSoy132 en Atenco vs la imposición ""cómo y de qué forma vamos a organizarnos para que EPN no llegue a la presidencia"" http://t.co/cldYPA4J","0","1","0","1342293589000","14 Jul 2012","GabySofiaMaga/status/224221682196426754","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","YoSoy132"
"@JovMov","JóvenesDemocráticos","#YoSoy132 desconoce a Enrique Peña Nieto http://t.co/Nhz30S4x vía @sharethis","0","0","0","1342305498000","14 Jul 2012","JovMov/status/224271632003366912","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","YoSoy132"
"@ravenmsz","Azul Celeste","#yosoy132 akban d llegar al zocalo gran poder d convoktoria seguro se llenara la plancha d sta ciudad","0","0","0","1342303725000","14 Jul 2012","ravenmsz/status/224264197268176896","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","yosoy132"
"@jorgedelacruz99","Jorge Jesus de la Cruz","Los #yosoy132 andan buscando otra boda famosa en el DF, ya que alquilan de gatos","0","0","0","1342304011000","14 Jul 2012","jorgedelacruz99/status/224265396373561344","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","yosoy132"
"@agusaki","Agus Esp","Movimiento #yosoy132 en la Paloma de la Paz http://t.co/gCVZVbuh","0","0","0","1342297829000","14 Jul 2012","agusaki/status/224239461595234304","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","yosoy132"
"@Shinsengumi_Gp","Shinsengumi","Nueva marcha en el DF; exigen anular la elección #YoSoy132Media #yosoy99 #YoSoy132 #exigimosdemocracia #2aMegaMarcha http://t.co/UA8oB1MU","0","0","0","1342306900000","14 Jul 2012","Shinsengumi_Gp/status/224277512526626816","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","YoSoy132Media | yosoy99 | YoSoy132 | exigimosdemocracia | 2aMegaMarcha"
"@Jose_Luis9008","Jose Luis Santiz","@jovenesamlo @AfroditaOpina @MoReNa_jovenes es cierto uqe los militares marcharan con #yosoy132 ?","0","0","0","1342296147000","14 Jul 2012","Jose_Luis9008/status/224232412123635713","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","yosoy132"
"@JesAnt_Me","Jesús Antonio M.","Triste realidad.. @art_sandoval @CNNMex @CarlosLoret @lopezdoriga @Brozo_TV #YoSoy132 #Culiacán #Sinaloa http://t.co/Xk8DCaIn","0","0","0","1342299712000","14 Jul 2012","JesAnt_Me/status/224247362560864257","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","YoSoy132 | Culiacán | Sinaloa"
"@breakdownriff","Liszther","#YoSoy132 = movimiento partidista de closet, ""haciendo la finta por la comunidad""","0","0","0","1342300011000","14 Jul 2012","breakdownriff/status/224248617551147009","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","YoSoy132"
"@LauraYzaguirre","Laura Yzaguirre","Mínimo 1,000 personas marchas en el Centro de Queretaro del #Yosoy132","0","1","1","1342303686000","14 Jul 2012","LauraYzaguirre/status/224264033753235456","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","Yosoy132"
"@jarochita69","jarochita","In Mexico we are fed up #Megamarcha Mundial (22 ciudades) TIENES QUE VERLO!! #Yosoy132 @pacocjc: http://t.co/D7dCBVkh vía @youtube","0","0","0","1342294861000","14 Jul 2012","jarochita69/status/224227015518208001","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","Megamarcha | Yosoy132"
